DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2022-0590-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Uttar Pradesh,Monsoonal rains,,No,No,No,,,Km2,,,,2022,9,18,2022,9,24,,,,,,,,,,,,93.29460735,"[{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2022-09-20,2023-09-26
2022-0590-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Darchula District (Sudurpashchim Provincel); Kanchanpur District (Sudurpashchim Province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,9,9,2022,9,17,15,11,500,,511,,,,,,,93.29460735,,2022-09-13,2023-09-26
2022-0695-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Sitrang',BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Barisal",,,No,No,No,,95,Kph,,,,2022,10,24,2022,10,25,35,,1000000,,1000000,,,,,,,93.29460735,"[{""adm1_code"":575,""adm1_name"":""Barisal""},{""adm1_code"":576,""adm1_name"":""Chittagong""}]",2022-10-25,2023-09-26
2022-0798-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mandous',IND,India,Southern Asia,Asia,Tamil Nadu,,,No,No,No,,,Kph,,,,2022,12,9,2022,12,9,,,,,,,,,,,,93.29460735,"[{""adm1_code"":1508,""adm1_name"":""Tamil Nadu""}]",2022-12-09,2023-09-26
2023-0161-IND,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,IND,India,Southern Asia,Asia,"Khandwa, Sagar, Satna, Raisen, Narmadapura, Dhar, Ratlam, Ashok Nagar and Damoh (Madhya Pradesh State)",,Hail|Lightening,No,No,No,,,Kph,,,,2023,3,17,2023,3,21,16,14,,,14,,,,,,,97.13499264,,2023-03-23,2023-09-26
2023-0254-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Netrokona, Sylhet, Sunamganj and Maulbi Bazar",,,No,No,No,,,Kph,,,,2023,4,23,2023,4,23,10,,,,,,,,,,,97.13499264,"[{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm2_code"":5790,""adm2_name"":""Netrakona""}]",2023-04-28,2023-09-26
2023-0294-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2023-000069|GLIDE:TC-2023-000071,Cyclone 'Mocha',BGD,Bangladesh,Southern Asia,Asia,"Cox’s Bazar, Chattogram, Feni, and Noakhali districts, St Martin Island",,,No,No,No,,220,Kph,,,,2023,5,13,2023,5,14,3,12,750000,,750012,,,,,1000,1029,97.13499264,,2023-05-23,2025-03-05
2023-0294-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2023-000069|GLIDE:TC-2023-000071,Cyclone 'Mocha',IND,India,Southern Asia,Asia,"Mizoram, Tripura, and Manipur states",,,No,No,No,,,Kph,,,,2023,5,14,2023,5,14,,,1000,,1000,,,,,,,97.13499264,,2023-05-23,2025-03-05
2023-0326-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,"Nuwakot, Okhaldhunga, Panchthar, Shankhuwasabha, Taplejung, Dhankuta and Ilam (Koshi province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,6,15,2023,6,19,36,6,1500,,1506,,,,,,,97.13499264,,2023-06-26,2023-09-26
2023-0330-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000104,,IND,India,Southern Asia,Asia,"Nalbari, Baksa, Lakhimpur, Bajali, Barpet distrcits (Assam);Sikkim",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,6,14,2023,6,23,,,500000,,500000,,,,,,,97.13499264,,2023-06-26,2025-07-16
